Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,17057.699219,17426.160156,14763.969727,15405.629883,15405.629883,0
2000-01-08,15631.000000,16196.089844,15322.190430,15542.230469,15542.230469,0
2000-01-15,15666.059570,15827.509766,14903.700195,15108.410156,15108.410156,0
2000-01-22,15233.790039,16315.740234,14910.290039,16185.940430,16185.940430,0
2000-01-29,15889.049805,16010.030273,15444.820313,15968.120117,15968.120117,0
2000-02-05,16079.889648,17653.650391,15940.309570,17380.300781,17380.300781,0
2000-02-12,17546.470703,17939.269531,16468.949219,16599.160156,16599.160156,0
2000-02-19,16412.630859,17414.460938,15776.349609,17200.980469,17200.980469,0
2000-02-26,17434.720703,17746.769531,16617.949219,17285.240234,17285.240234,0
2000-03-04,17500.970703,18249.859375,17323.759766,17831.859375,17831.859375,0
2000-03-11,17650.619141,17786.279297,16315.040039,17082.990234,17082.990234,0
2000-03-18,16878.810547,17879.369141,16708.720703,17784.570313,17784.570313,0
2000-03-25,17827.710938,18397.570313,17107.439453,17406.539063,17406.539063,0
2000-04-01,17444.480469,17458.060547,16246.530273,16941.679688,16941.679688,0
2000-04-08,17038.220703,17083.269531,15906.290039,16142.759766,16142.759766,0
2000-04-15,15306.049805,15667.160156,14624.330078,15367.139648,15367.139648,0
2000-04-22,15335.889648,15629.519531,15068.660156,15519.299805,15519.299805,0
2000-04-29,15751.030273,15912.269531,15171.110352,15268.639648,15268.639648,0
2000-05-06,15337.660156,15443.330078,14288.330078,15111.940430,15111.940430,0
2000-05-13,15117.750000,15293.259766,14166.360352,14478.259766,14478.259766,0
2000-05-20,14278.509766,14311.700195,13596.629883,13722.700195,13722.700195,0
2000-05-27,13735.070313,15344.129883,13606.190430,15284.099609,15284.099609,0
2000-06-03,15643.790039,16154.799805,15643.790039,16120.259766,16120.259766,0
2000-06-10,16125.750000,16483.910156,15621.299805,16434.380859,16434.380859,0
2000-06-17,16332.690430,16525.019531,15667.349609,15738.080078,15738.080078,0
2000-06-24,15726.120117,16534.480469,15644.610352,16155.780273,16155.780273,0
2000-07-01,16177.059570,16861.580078,15928.919922,16829.960938,16829.960938,0
2000-07-08,17024.460938,17834.949219,17024.460938,17586.160156,17586.160156,0
2000-07-15,17736.619141,18125.570313,17388.630859,17920.859375,17920.859375,0
2000-07-22,17866.279297,18028.650391,16994.369141,17183.929688,17183.929688,0
2000-07-29,16977.699219,17555.199219,16729.980469,17425.699219,17425.699219,0
2000-08-05,17538.810547,17761.949219,16951.039063,17214.419922,17214.419922,0
2000-08-12,17245.339844,17794.320313,16945.439453,17440.000000,17440.000000,0
2000-08-19,17432.419922,17785.080078,17058.339844,17236.740234,17236.740234,0
2000-08-26,17220.789063,17391.009766,16929.640625,17333.609375,17333.609375,0
2000-09-02,17421.339844,17803.199219,17228.519531,17275.449219,17275.449219,0
2000-09-09,17199.279297,17199.279297,16195.690430,16249.530273,16249.530273,0
2000-09-16,16010.690430,16010.690430,14538.879883,14612.879883,14612.879883,0
2000-09-23,14894.089844,15772.559570,14894.089844,15648.980469,15648.980469,0
2000-09-30,15586.030273,16245.610352,15469.389648,16184.679688,16184.679688,0
2000-10-07,16046.879883,16057.400391,14494.379883,14680.500000,14680.500000,0
2000-10-14,15185.679688,15284.650391,14107.740234,15044.530273,15044.530273,0
2000-10-21,15038.250000,15209.339844,14764.500000,14902.459961,14902.459961,0
2000-10-28,14936.190430,15693.030273,14729.209961,15594.120117,15594.120117,0
2000-11-04,15625.429688,16023.410156,15324.129883,15389.389648,15389.389648,0
2000-11-11,15078.750000,15473.759766,14802.480469,15180.849609,15180.849609,0
2000-11-18,15154.040039,15379.389648,14257.540039,14376.900391,14376.900391,0
2000-11-25,14491.370117,14691.070313,13894.190430,14441.429688,14441.429688,0
2000-12-02,14470.490234,15281.809570,14403.379883,15189.330078,15189.330078,0
2000-12-09,15274.070313,15637.780273,14914.049805,14975.530273,14975.530273,0
2000-12-16,14901.429688,15192.219727,14476.790039,14738.209961,14738.209961,0
2000-12-23,14811.950195,15154.919922,14727.450195,15095.530273,15095.530273,0
